District,Crop,Season,Start_Year,Area_Hectare,Production,Yield,Previous_Yield,NDVI_Mean,NDVI_Max,NDVI_Min,Weather_Months_Available,Temperature_C,TMin_C,TMax_C,Precipitation_mm_day,WindSpeed_m_s,Humidity_pct,RootSoilWetness,SurfaceSoilWetness,Irradiance_kWh_m2_day,NDVI_Mean_was_imputed,NDVI_Max_was_imputed,NDVI_Min_was_imputed,Weather_Confidence
Ahilyanagar,Arhar/Tur,Kharif,2020,20664.59,15667.3,0.76,,0.4114655664617643,0.4463622281073737,0.241067837336053,5,25.335436559139783,22.02197419354839,29.70109247311828,6.665363440860214,2.8885354838709683,81.53875268817204,0.8129032258064516,0.8317225806451611,16.17787096774194,True,False,True,medium
Ahilyanagar,Arhar/Tur,Kharif,2021,22874.75,18530.84,0.81,0.76,0.4114655664617643,0.4663541451681234,0.241067837336053,5,25.425494623655915,21.6634623655914,30.468236559139783,4.080023655913979,3.309797849462366,77.9924688172043,0.7194903225806452,0.7335698924731184,16.467733333333335,True,False,True,medium
Ahilyanagar,Arhar/Tur,Kharif,2022,23881.0,22018.0,0.92,0.81,0.4114655664617643,0.5578163738210732,0.241067837336053,5,25.129193548387097,21.4820623655914,29.93831827956989,5.353662365591398,3.4139483870967746,78.68415913978495,0.776425806451613,0.7723978494623657,16.000466666666668,True,False,True,medium
Ahilyanagar,Bajra,Kharif,2020,150957.97,229822.23,1.52,,0.3910617756159833,0.4463622281073737,0.21228181914333283,5,25.335436559139783,22.02197419354839,29.70109247311828,6.665363440860214,2.8885354838709683,81.53875268817204,0.8129032258064516,0.8317225806451611,16.17787096774194,True,False,True,medium
Ahilyanagar,Bajra,Kharif,2021,147501.9,151916.36,1.03,1.52,0.3910617756159833,0.4663541451681234,0.21228181914333283,5,25.425494623655915,21.6634623655914,30.468236559139783,4.080023655913979,3.309797849462366,77.9924688172043,0.7194903225806452,0.7335698924731184,16.467733333333335,True,False,True,medium
Ahilyanagar,Bajra,Kharif,2022,110862.0,136744.0,1.23,1.03,0.3910617756159833,0.5578163738210732,0.21228181914333283,5,25.129193548387097,21.4820623655914,29.93831827956989,5.353662365591398,3.4139483870967746,78.68415913978495,0.776425806451613,0.7723978494623657,16.000466666666668,True,False,True,medium
Ahilyanagar,Bajra,Summer,2021,2016.0,1834.56,0.91,,0.244291434361624,0.2514076275385131,0.237175241184735,2,30.570129032258063,23.78289784946237,37.47250537634408,1.1596881720430108,2.5626989247311824,40.69797311827957,0.5998655913978495,0.330752688172043,21.962483870967745,False,False,False,low
Ahilyanagar,Bajra,Summer,2022,5129.3,4667.66,0.91,0.91,0.2565302594821461,0.2738278845742898,0.2392326343900025,2,32.01146774193548,23.983559139784948,40.05520430107527,0.1368440860215053,3.1686774193548386,32.518715053763444,0.5906451612903225,0.1650376344086021,23.26796774193549,False,False,False,low
Ahilyanagar,Cotton(lint),Kharif,2020,172800.0,399500.0,2.31,,0.4114655664617643,0.4463622281073737,0.241067837336053,5,25.335436559139783,22.02197419354839,29.70109247311828,6.665363440860214,2.8885354838709683,81.53875268817204,0.8129032258064516,0.8317225806451611,16.17787096774194,True,False,True,medium
Ahilyanagar,Cotton(lint),Kharif,2021,162600.0,277400.0,1.71,2.31,0.4114655664617643,0.4663541451681234,0.241067837336053,5,25.425494623655915,21.6634623655914,30.468236559139783,4.080023655913979,3.309797849462366,77.9924688172043,0.7194903225806452,0.7335698924731184,16.467733333333335,True,False,True,medium
Ahilyanagar,Cotton(lint),Kharif,2022,131229.17,255061.86,1.94,1.71,0.4114655664617643,0.5578163738210732,0.241067837336053,5,25.129193548387097,21.4820623655914,29.93831827956989,5.353662365591398,3.4139483870967746,78.68415913978495,0.776425806451613,0.7723978494623657,16.000466666666668,True,False,True,medium
Ahilyanagar,Gram,Rabi,2020,107760.0,92042.58,0.85,,0.3585650385034403,0.4246576217352772,0.2807788083230003,5,22.989303993855607,16.0865777265745,30.770575422427036,0.1262437788018433,1.6240526881720427,54.20688110599078,0.6851666666666667,0.5807161290322581,18.27091904761905,False,False,False,medium
Ahilyanagar,Gram,Rabi,2021,114238.91,112409.95,0.98,0.85,0.3581513270245153,0.4235945288263218,0.2902276389859127,5,22.91851228878648,16.022233333333332,30.95597004608295,0.3056752688172043,1.91535821812596,52.96012780337941,0.6369786482334869,0.4750294930875575,17.37526466973886,False,False,False,medium
Ahilyanagar,Gram,Rabi,2022,113139.7,112159.91,0.99,0.98,0.3838584570677159,0.4546265394793832,0.3214662553859761,5,22.31607173579109,14.953211520737328,30.913897542242704,0.1875505376344086,1.8131190476190475,51.33472350230416,0.6561542242703532,0.5265451612903226,18.914902611367125,False,False,False,medium
Ahilyanagar,Groundnut,Kharif,2020,13496.5,11272.68,0.84,,0.4009920640763048,0.4463622281073737,0.2429167809553046,5,25.335436559139783,22.02197419354839,29.70109247311828,6.665363440860214,2.8885354838709683,81.53875268817204,0.8129032258064516,0.8317225806451611,16.17787096774194,True,False,True,medium
Ahilyanagar,Groundnut,Kharif,2021,15363.13,13395.11,0.87,0.84,0.4009920640763048,0.4663541451681234,0.2429167809553046,5,25.425494623655915,21.6634623655914,30.468236559139783,4.080023655913979,3.309797849462366,77.9924688172043,0.7194903225806452,0.7335698924731184,16.467733333333335,True,False,True,medium
Ahilyanagar,Groundnut,Kharif,2022,5255.6,5503.14,1.05,0.87,0.4009920640763048,0.5578163738210732,0.2429167809553046,5,25.129193548387097,21.4820623655914,29.93831827956989,5.353662365591398,3.4139483870967746,78.68415913978495,0.776425806451613,0.7723978494623657,16.000466666666668,True,False,True,medium
Ahilyanagar,Groundnut,Summer,2020,487.07,684.98,1.41,,0.2464554100974996,0.2581780806862528,0.2347327395087464,2,32.53834946236559,24.436091397849463,40.21984408602151,0.2420913978494623,2.6984086021505376,30.970838709677423,0.5931075268817203,0.2407150537634408,25.057693548387096,False,False,False,low
Ahilyanagar,Groundnut,Summer,2021,415.99,592.56,1.42,1.41,0.244291434361624,0.2514076275385131,0.237175241184735,2,30.570129032258063,23.78289784946237,37.47250537634408,1.1596881720430108,2.5626989247311824,40.69797311827957,0.5998655913978495,0.330752688172043,21.962483870967745,False,False,False,low
